Source,Target,Category,Weight
't Serstevens,André Messager,MA-subj,1
't Serstevens,Brichart,MA-subj,1
't Serstevens,Bruneel,MA-subj,1
't Serstevens,Bâillon,MA-subj,1
't Serstevens,Cathala,MA-subj,1
't Serstevens,Collyns,MA-subj,1
't Serstevens,Communi,MA-subj,1
't Serstevens,Corthacls,MA-subj,1
't Serstevens,Courtin,MA-subj,1
't Serstevens,Damman,MA-subj,1
't Serstevens,Deisser,MA-subj,1
't Serstevens,Drieghe,MA-subj,1
't Serstevens,Duval,MA-subj,1
't Serstevens,G. Michel,MA-subj,1
't Serstevens,Gilliams,MA-subj,1
't Serstevens,Hartjens,MA-subj,1
't Serstevens,Janssens,MA-subj,1
't Serstevens,Legaeite,MA-subj,1
't Serstevens,Lemonnier,MA-subj,1
't Serstevens,Louwette,MA-subj,1
't Serstevens,Lucien Cooremans,MA-subj,1
't Serstevens,Léon Coeckelbergh,MA-subj,1
't Serstevens,Marcel Antoine,MA-subj,1
't Serstevens,Materne,MA-subj,1
't Serstevens,Max,MA-subj,1
't Serstevens,Meeus,MA-subj,1
't Serstevens,Mestag,MA-subj,1
't Serstevens,Mousset,MA-subj,1
't Serstevens,Peten,MA-subj,1
't Serstevens,Provis,MA-subj,1
't Serstevens,Rettig,MA-subj,1
't Serstevens,Solvay,MA-subj,1
't Serstevens,Stern,MA-subj,1
't Serstevens,Van Loo,MA-subj,1
't Serstevens,Villers,MA-subj,1
A. Mombaerts,Marcel Antoine,MA-subj,1
A. Mombaerts,Mme Tart-Thomson,MA-subj,1
A. Mombaerts,de Ghistelles,MA-subj,1
A. Samedi,Albert Lenoir,MineSouriante,1
A. Samedi,Bovesse,MineSouriante,1
A. Samedi,Carlo Carldana,MineSouriante,1
A. Samedi,Denise Beeli,MineSouriante,1
A. Samedi,Ferdinand Janson,MineSouriante,1
A. Samedi,Gaston Chandry,MineSouriante,1
A. Samedi,Henderyckx,MineSouriante,1
A. Samedi,Henri Lemaire,MineSouriante,1
A. Samedi,Hymans,MineSouriante,1
A. Samedi,Jean Ancia,MineSouriante,1
A. Samedi,Jean-Emile,MineSouriante,1
A. Samedi,Jeanne Hovine,MineSouriante,1
A. Samedi,Jules Lempereur,MineSouriante,1
A. Samedi,Jules-Marie Canneel,MineSouriante,1
A. Samedi,Kupfferschlaeger,MineSouriante,1
A. Samedi,Lippens,MineSouriante,1
A. Samedi,Louis Lou,MineSouriante,1
A. Samedi,Léo Jo,MineSouriante,1
A. Samedi,Marcel Antoine,MineSouriante,1
A. Samedi,Marie Dubas,MineSouriante,1
A. Samedi,Max,MineSouriante,1
A. Samedi,MoroGiafferi,MineSouriante,1
A. Samedi,Nanreff,MineSouriante,1
