BP-date,Title in BP,Title,IDN,Date,Page,Commentaire,Categories_test,Image,Lien KBR
BP-date,Le Soir in BP,Le Soir,15438406,20/02/1930,1,"Petite Gazette : La ""Mine"" Souriante vient d' être fondé. parmi ces premiers adhérents, citons Henri Lemaire, Roméo Dumoulin, F. François, J. Canneel, J. Ancia, J. Klecker, A. Lenoir, Marcel Antoine. A l'occasion des fêtes du Centenaire, cette société organisera en avril un grand Salon des Humoristes, qui sera, après Bruxelles, transporté dans les centres principaux de la Belgique",MineSouriante,,https://uurl.kbr.be/1598587
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,18/08/1930,1,"Cartoon par MA (petits dessins + texte) : ""Saison des bruiteurs...""",MA-auth/art,,https://uurl.kbr.be/1757638
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,22/08/1930,1,"Cartoon par MA (petits dessins + texte) : ""Toute la lyre!...""",MA-auth/art,,https://uurl.kbr.be/1757642
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,29/08/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1757649
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,7/09/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1757658
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,14/09/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1757665
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,28/09/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1755958
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,5/10/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1755963
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,10/10/1930,1,"Cartoon par MA (petits dessins + texte) : ""Augsbourg .... le crâne!""",MA-auth/art,,
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,14/10/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1755972
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,20/10/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1755978
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,28/10/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1755986
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,3/11/1930,1,"Cartoons (bande) par MA : ""La semaine du livre belge""",MA-auth/art,,https://uurl.kbr.be/1755992
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,11/11/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756000
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,29/11/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756017
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,7/12/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756025
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,14/12/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756032
